fiscal_year,export,import,trade_balance
1990,82597037745.0,43104227156.0,39492810589.0
1991,79601387438.0,43127965217.0,36473422221.0
1992,85365746242.0,46676149592.0,38689596650.0
1993,85417684892.0,47053484061.0,38364200831.0
1994,89297937938.0,50536873510.0,38761064428.0
1995,109106502224.0,55153682655.0,53952819569.0
1996,118157937986.0,60043520800.0,58114417186.0
1997,113016335736.0,66853906792.0,46162428944.0
1998,106434017535.0,70196842250.0,36237175285.0
1999,96236286807.0,72610062288.0,23626224519.0
2000,99725176553.0,76345149067.0,23380027486.0
2001,102340106901.0,77939870266.0,24400236635.0
2002,100054875746.0,82125815536.0,17929060210.0
2003,105855193997.0,90546147172.0,15309046825.0
2004,116616151516.0,103458681461.0,13157470055.0
2005,116390676488.0,113425992548.0,2964683940.0
2006,128046526771.0,126822051338.0,1224475433.0
2007,151933497093.0,138133614553.0,13799882540.0
2008,207386589898.0,154061845485.0,53324744413.0
2009,174885746787.0,142352362451.0,32533384336.0
2010,197819839009.0,150760889219.0,47058949790.0
2011,251369370213.0,176601767416.0,74767602797.0
2012,252405775688.0,197270603471.0,55135172217.0
2013,257925001011.0,202479654352.0,55445346659.0
2014,280030569658.0,211107363683.0,68923205975.0
2015,258390784725.0,221445370708.0,36945414017.0
2016,239418844051.0,220097656293.0,19321187758.0
2017,258642160765.0,231143539897.0,27498620868.0
2018,263753152469.0,247004496705.0,16748655764.0
2019,246926378982.0,256935615485.0,-10009236503.0
2020,247874175622.0,259945270035.0,-12071094413.0
2021,308730198951.0,296462326093.0,12267872858.0
2022,352573078522.0,353292458524.0,-719380002.0
2023,322179584147.0,356690255372.0,-34510671225.0
2024,315917019719.0,376495203103.0,-60578183384.0
